model,auprc,auroc,f1,config,scaler,pca_components,time_seconds
LOF(k=50),0.19548322991241993,0.5648045534991775,0.23664638265570967,robust_pcaNone,robust,,5.6117470264434814
RandomProjection_LOF(B=20),0.193858503659519,0.5629513266718307,0.239948119291285,robust_pcaNone,robust,,11.409561157226562
KNN_Distance(k=5),0.18823746576805186,0.5540018274176223,0.23569637562924434,robust_pcaNone,robust,,0.8879644870758057
"OneClassSVM(kernel=rbf, nu=0.05)",0.18650396786113935,0.5526726533531037,0.23411371235028447,robust_pcaNone,robust,,7.536273002624512
"OneClassSVM(kernel=rbf, nu=0.1)",0.18615832976108604,0.5416681748265196,0.23138602517794962,standard_pca80,standard,80.0,3.6207849979400635
MLP_Autoencoder,0.18270617706111536,0.5406782973856219,0.23290109328449196,standard_pca80,standard,80.0,4.386109828948975
"DBSCAN(eps=2.0, min_samples=5)",0.18169131938057642,0.5452540806084426,0.23089281613165913,robust_pcaNone,robust,,0.511566162109375
LOF(k=5),0.18139150057728798,0.5394607009213571,0.2278795404821667,standard_pca80,standard,80.0,4.013614654541016
RandomProjection_LOF(B=20),0.181260125720263,0.5380330112323549,0.22868301147417844,standard_pca80,standard,80.0,12.5275239944458
KNN_Distance(k=5),0.18090543294181335,0.5272977982544794,0.22811301009427734,standard_pca80,standard,80.0,0.6144113540649414
PCA_Reconstruction(n=80),0.18088227390977485,0.5382689136622286,0.2264957264745232,robust_pcaNone,robust,,0.12602901458740234
"DBSCAN(eps=2.0, min_samples=5)",0.17984686021659096,0.5251430443720038,0.22692307690220723,standard_pca80,standard,80.0,0.2930464744567871
PCA_Reconstruction(n=20),0.1796974165238167,0.5381480510430537,0.230022075029765,standard_pca80,standard,80.0,0.0693972110748291
MLP_Autoencoder,0.17715949409311274,0.5208338513534567,0.2254733218382749,robust_pcaNone,robust,,3.957782030105591
PCA_Reconstruction(n=50),0.17432789655164455,0.5222347875981104,0.2258823529196726,robust_pca80,robust,80.0,0.046955108642578125
Mahalanobis_Distance,0.17376956546903705,0.5170556355186281,0.22910945466508056,standard_pca80,standard,80.0,0.024263858795166016
Mahalanobis_Distance,0.17376562550411995,0.5170531175473954,0.22910945466508056,robust_pcaNone,robust,,0.10617923736572266
LOF(k=50),0.15496162032683847,0.5509890748375672,0.23154848043158646,robust_pca80,robust,80.0,5.540952205657959
"IsolationForest(n=500, samp=512)",0.15477479977173017,0.5272795429630415,0.23040526638211425,robust_pca80,robust,80.0,4.280612230300903
RandomProjection_LOF(B=20),0.1536763323846818,0.5498707808637964,0.23181667216706864,robust_pca80,robust,80.0,12.258288860321045
EllipticEnvelope(support=0.8),0.15343033395214792,0.6205927241332749,0.28399581587044226,robust_pca80,robust,80.0,20.69798994064331
EllipticEnvelope(support=0.8),0.1525415182507083,0.6191086948379386,0.28364222398313765,standard_pca80,standard,80.0,19.965090036392212
"OneClassSVM(kernel=linear, nu=0.1)",0.1492400370603938,0.549707427480068,0.23332387166920784,robust_pca80,robust,80.0,122.71648740768433
EllipticEnvelope(support=0.8),0.14917632648589302,0.6083062835027877,0.27593415204822375,robust_pcaNone,robust,,75.56856393814087
Mahalanobis_Distance,0.14739249277570873,0.51631975842584,0.22910945466508056,robust_pca80,robust,80.0,0.02718186378479004
KNN_Distance(k=5),0.14729667195796764,0.5385575361147892,0.23397947545849587,robust_pca80,robust,80.0,0.6288435459136963
"IsolationForest(n=300, samp=512)",0.14629057146238855,0.5165026260866226,0.22563670803702252,standard_pca80,standard,80.0,4.456109523773193
"DBSCAN(eps=2.0, min_samples=5)",0.13950192451456328,0.5340365187662823,0.2313725489919282,robust_pca80,robust,80.0,0.44040870666503906
MLP_Autoencoder,0.1353237561396337,0.4983027300158852,0.224172185410559,robust_pca80,robust,80.0,4.021769762039185
"IsolationForest(n=100, samp=512)",0.1322410803726876,0.5297317321973926,0.23068432668901084,robust_pcaNone,robust,,4.765052318572998
